Id,Label
北京,北京
上海,上海
深圳,深圳
杭州,杭州
广州,广州
南京,南京
成都,成都
苏州,苏州
武汉,武汉
天津,天津
宁波,宁波
青岛,青岛
重庆,重庆
长沙,长沙
郑州,郑州
厦门,厦门
合肥,合肥
福州,福州
南宁,南宁
西安,西安
济南,
无锡,
嘉兴,
石家庄,
昆明,
大连,
沈阳,
潍坊,
南昌,
绍兴,
温州,
南通,
常州,
哈尔滨,
烟台,
珠海,
长春,
东莞,
太原,
乌鲁木齐,
金华,
临沂,
佛山,
盐城,
贵阳,
济宁,
威海,
泉州,
扬州,
拉萨,
台州,
海口,
兰州,
湖州,
镇江,
银川,
徐州,
保定,
宜昌,
淄博,
襄阳,
赣州,
泰安,
泰州,
唐山,
洛阳,
惠州,
呼和浩特,
芜湖,
德州,
滨州,
淮安,
连云港,
宜春,
聊城,
中山,
菏泽,
邯郸,
南平,
上饶,
日照,
廊坊,
九江,
东营,
鄂尔多斯,
舟山,
安庆,
达州,
黄冈,
沧州,
荆州,
宿迁,
三明,
泸州,
衢州,
绵阳,
新余,
伊犁哈萨克自治州,
吉林,
十堰,
桂林,
江门,
新乡,
柳州,
丽水,
株洲,
运城,
邢台,
漳州,
滁州,
荆门,
枣庄,
恩施土家族苗族自治州,
南阳,
马鞍山,
宣城,
吉安,
晋中,
张家口,
阜阳,
齐齐哈尔,
孝感,
包头,
赤峰,
常德,
庆阳,
宜宾,
抚州,
开封,
西宁,
营口,
秦皇岛,
蚌埠,
呼伦贝尔,
鞍山,
丹东,
德阳,
长治,
四平,
六安,
承德,
晋城,
遵义,
盘锦,
衡水,
驻马店,
黄石,
临汾,
黄山,
亳州,
衡阳,
喀什地区,
昌吉回族自治州,
佳木斯,
商丘,
吴忠,
岳阳,
玉林,
通辽,
南充,
鹰潭,
周口,
龙岩,
宿州,
铁岭,
平顶山,
锦州,
榆林,
湘潭,
萍乡,
莱芜,
百色,
安阳,
延边朝鲜族自治州,
咸宁,
遂宁,
怀化,
宁德,
肇庆,
宝鸡,
信阳,
莆田,
武威,
郴州,
湛江,
汕头,
许昌,
葫芦岛,
三亚,
濮阳,
天水,
清远,
池州,
漯河,
梅州,
永州,
曲靖,
乐山,
吕梁,
中卫,
阜新,
益阳,
朝阳,
定西,
铜陵,
黔东南苗族侗族自治州,
咸阳,
毕节,
淮北,
娄底,
绥化,
贵港,
巴音郭楞蒙古自治州,
平凉,
通化,
乌兰察布,
大同,
松原,
焦作,
淮南,
渭南,
梧州,
辽阳,
兴安盟,
抚顺,
邵阳,
自贡,
防城港,
张掖,
广安,
钦州,
本溪,
玉溪,
安顺,
贺州,
茂名,
酒泉,
黑河,
黔南布依族苗族自治州,
固原,
河源,
牡丹江,
鹤壁,
阿克苏地区,
随州,
韶关,
凉山彝族自治州,
红河哈尼族彝族自治州,
汉中,
内江,
延安,
鄂州,
大庆,
潮州,
张家界,
六盘水,
眉山,
黔西南布依族苗族自治州,
锡林郭勒盟,
石嘴山,
忻州,
白银,
巴中,
克拉玛依,
大理白族自治州,
哈密地区,
白城,
巴彦淖尔,
景德镇,
北海,
海东地区,
湘西土家族苗族自治州,
保山,
陇南,
双鸭山,
白山,
攀枝花,
云浮,
楚雄彝族自治州,
昭通,
资阳,
鸡西,
塔城地区,
阳江,
阿拉善盟,
安康,
海西蒙古族藏族自治州,
西双版纳傣族自治州,
河池,
阳泉,
鹤岗,
揭阳,
德宏傣族景颇族自治州,
辽源,
三门峡,
朔州,
崇左,
来宾,
博尔塔拉蒙古自治州,
甘南藏族自治州,
普洱,
商洛,
伊春,
丽江,
甘孜藏族自治州,
铜仁,
雅安,
和田地区,
阿勒泰地区,
乌海,
海南藏族自治州,
山南地区,
海北藏族自治州,
文山壮族苗族自治州,
临沧,
大兴安岭地区,
汕尾,
阿坝藏族羌族自治州,
铜川,
临夏回族自治州,
嘉峪关,
七台河,
克孜勒苏柯尔克孜自治州,
金昌,
果洛藏族自治州,
黄南藏族自治州,
三沙,
迪庆藏族自治州,
怒江傈僳族自治州,
那曲地区,
玉树藏族自治州,
