投资方所在城市,融资方所在城市,年份,投资企业对数,阵营,rzLng,rzLat
北京,三亚,2015,32,1,109.417993438,18.3920682395
福州,三明,2015,33,0,117.397600532,26.2993359511
郑州,三门峡,2015,10,0,110.760616888,34.2297321142
北京,上海,2015,2485,1,121.404084553,31.0844617511
南昌,上饶,2015,27,0,117.9497646,28.7600838811
深圳,东莞,2015,260,1,113.877717876,22.9852478082
北京,东营,2015,18,1,118.615798406,37.6303322383
银川,中卫,2015,18,0,105.706395331,36.5693450516
深圳,中山,2015,57,1,113.389491138,22.5221140275
北京,临汾,2015,167,1,111.374331297,36.2353877293
济南,临沂,2015,33,0,118.279789444,35.3092645187
昆明,临沧,2015,13,0,99.6334364438,23.8219398519
北京,丹东,2015,16,1,124.406588969,40.5485906661
杭州,丽水,2015,26,0,119.510527575,28.1982961548
昆明,丽江,2015,18,0,100.524832949,26.9419138638
呼和浩特,乌兰察布,2015,28,0,112.459882056,41.6808643781
北京,乌海,2015,4,1,106.882873414,39.5669625568
北京,乌鲁木齐,2015,153,1,87.8094631006,43.5313046469
成都,乐山,2015,36,0,103.532404151,29.1782825258
深圳,九江,2015,104,1,115.437787326,29.3279801382
上海,云浮,2015,9,1,111.791609466,22.8645994249
合肥,亳州,2015,25,0,116.182133908,33.4325380314
广州,佛山,2015,114,0,112.94508169,23.0127749858
哈尔滨,佳木斯,2015,38,0,132.200214943,47.255087237
北京,保定,2015,138,1,115.168613586,39.0222939691
昆明,保山,2015,6,0,98.9725729865,24.9790540142
郑州,信阳,2015,29,0,114.883648525,32.0816602932
北京,克拉玛依,2015,11,1,85.2440883636,45.6067831345
合肥,六安,2015,26,0,116.312145694,31.7560590375
北京,六盘水,2015,4,1,104.651762927,25.8547514439
北京,兰州,2015,69,1,103.638543494,36.3489055767
海西蒙古族藏族自治州,兴安盟,2015,4,0,121.38567335,46.2157994401
成都,内江,2015,34,0,104.907948563,29.6411079391
北京,包头,2015,71,1,110.218042216,41.6418500189
上海,北京,2015,2234,1,116.409349256,40.1841180253
南宁,北海,2015,9,0,109.335612571,21.6793992485
武汉,十堰,2015,36,0,110.44027763,32.4581748245
上海,南京,2015,435,1,118.842463658,31.9287592963
成都,南充,2015,14,0,106.20434408,31.1959423625
北京,南宁,2015,96,1,108.464015667,23.0584134307
福州,南平,2015,27,0,118.143817602,27.3394707962
上海,南昌,2015,120,1,116.024443256,28.6633621609
上海,南通,2015,288,1,120.996756876,32.1893721211
郑州,南阳,2015,35,0,112.286515719,33.0462533589
北京,厦门,2015,174,1,118.110687591,24.6830448658
哈尔滨,双鸭山,2015,9,0,132.144828937,46.3072456498
杭州,台州,2015,62,0,121.089649417,28.7920082915
北京,合肥,2015,216,1,117.286266302,31.9771580754
深圳,吉安,2015,20,1,114.822849138,26.9730002281
长春,吉林,2015,35,0,126.841290435,43.5774601864
太原,吕梁,2015,37,0,111.262529043,37.6767890314
银川,吴忠,2015,79,0,107.056492602,37.6284503763
郑州,周口,2015,26,0,114.878292807,33.724344276
北京,呼伦贝尔,2015,7,1,121.178173784,49.6519523509
北京,呼和浩特,2015,122,1,111.399370918,40.5810079565
武汉,咸宁,2015,34,0,114.174914704,29.6259158262
西安,咸阳,2015,71,0,108.4494129,34.8272305748
北京,哈尔滨,2015,221,1,127.962992428,45.6369913133
北京,唐山,2015,116,1,118.340532724,39.7358857445
郑州,商丘,2015,29,0,115.699500504,34.2909714488
北京,嘉兴,2015,457,1,120.753919978,30.654868568
长春,四平,2015,13,0,124.473024459,43.5691446169
银川,固原,2015,14,0,106.182674483,35.9493871692
太原,大同,2015,34,0,113.719411,39.9017848222
北京,大庆,2015,9,1,124.317028033,46.527882805
北京,大连,2015,142,1,122.219575666,39.6124317573
兰州,天水,2015,5,0,105.740149962,34.6504716072
北京,天津,2015,1372,1,117.332394543,39.3085542563
北京,太原,2015,184,1,112.314062259,37.9595409573
北京,威海,2015,57,1,121.982230785,37.1191305819
长沙,娄底,2015,12,0,111.208381843,27.8588837544
武汉,孝感,2015,40,0,113.879115408,31.1191958665
福州,宁德,2015,25,0,119.525337183,27.1525886371
上海,宁波,2015,691,1,121.462283516,29.7195882339
合肥,安庆,2015,32,0,116.594268791,30.6106751261
西安,安康,2015,22,0,108.92965593,32.7573978184
北京,安阳,2015,16,1,114.636913626,35.4832428865
贵阳,安顺,2015,4,0,105.951365814,25.9956824501
武汉,定西,2015,19,0,104.450809433,35.1188717502
成都,宜宾,2015,23,0,104.635831189,28.5712774941
武汉,宜昌,2015,299,0,111.136025443,30.7482684559
南昌,宜春,2015,21,0,115.061146398,28.5700976185
西安,宝鸡,2015,34,0,107.201963817,34.3783133934
上海,宣城,2015,19,1,118.856128319,30.690931106
合肥,宿州,2015,20,0,117.212164673,33.859664667
南京,宿迁,2015,47,0,118.518044118,33.7845818342
长沙,岳阳,2015,46,0,113.255373328,29.06454046
